Module No,Module Nsme,"Complexity (Beginner, Standard, Expert)",Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Explanation,,,,,,,,,,,,
1,IFRS 17 Fundamentals,Beginner,What is the primary objective of IFRS 17?,To standardize insurance accounting globally,To replace IFRS 16,To define financial instruments,To measure investment property,To standardize insurance accounting globally,IFRS 17 aims to create a consistent accounting framework for insurance contracts to improve transparency and comparability.,,,,,,,,,,,,
1,IFRS 17 Fundamentals,Beginner,Who introduced IFRS 17?,Financial Accounting Standards Board (FASB),International Actuarial Association (IAA),International Monetary Fund (IMF),International Accounting Standards Board (IASB),International Accounting Standards Board (IASB),"IFRS 17 was introduced by the IASB, the body responsible for IFRS standards.",,,,,,,,,,,,
1,IFRS 17 Fundamentals,Beginner,What does IFRS 17 replace?,IAS 37,IFRS 4,IFRS 9,IAS 40,IFRS 4,"IFRS 17 replaced IFRS 4, which was an interim standard.",,,,,,,,,,,,Beginner
1,IFRS 17 Fundamentals,Beginner,Which of the following was a key limitation of IFRS 4 that IFRS 17 aimed to address?,Lack of disclosure requirements,Absence of actuarial involvement,Inconsistent measurement of insurance contracts across entities,Over-reliance on fair value,Inconsistent measurement of insurance contracts across entities,"Under IFRS 4, insurers used different measurement bases depending on local practices. IFRS 17 introduced a consistent measurement framework.",,,,,,,,,,,,
1,IFRS 17 Fundamentals,Beginner,What was the official date of initial application for IFRS 17?,1st January 2022,31st December 2022,1st January 2023,1st January 2021,1st January 2023,The initial application date for IFRS 17 was 1st January 2023.,,,,,,,,,,,,Standard
1,IFRS 17 Fundamentals,Beginner,What does IFRS 17 apply to?,All insurance entities only,Any entity issuing insurance contracts,Reinsurers only,Investment banks only,Any entity issuing insurance contracts,"This reflects IFRS 17's scope, which applies to any entity that issues insurance contracts.",,,,,,,,,,,,Expert
1,IFRS 17 Fundamentals,Standard,How does IFRS 17 define an insurance contract?,Contract transferring insurance risk,Contract transferring investment risk,Contract transferring liquidity risk,Contract for investment advice,Contract transferring insurance risk,This captures the essential element of IFRS 17: transferring insurance risk from policyholder to insurer.,,,,,,,,,,,,
1,IFRS 17 Fundamentals,Standard,How does IFRS 17 define 'insurance risk'?,The risk of policyholder default,The risk of future investment losses,The risk transferred from the policyholder to the insurer due to uncertain future events,Exchange rate risk,The risk transferred from the policyholder to the insurer due to uncertain future events,Insurance risk under IFRS 17 involves uncertainty about future events that may trigger insurer payment.,,,,,,,,,,,,
1,IFRS 17 Fundamentals,Standard,Which of the following contracts falls under the scope of IFRS 17?,Product warranty issued by a retailer,Lease contract under IFRS 16,Financial guarantee contract under IFRS 9,Reinsurance contract held by an insurer,Reinsurance contract held by an insurer,Reinsurance contracts held are explicitly included under IFRS 17's scope.,,,,,,,,,,,,
1,IFRS 17 Fundamentals,Standard,Which contracts are only within IFRS 17 if the issuer also issues insurance contracts?,Leases,Derivatives,Term Deposits,Investment contracts with discretionary participation features,Investment contracts with discretionary participation features,These contracts are only within the scope of IFRS 17 if issued by entities that also issue insurance contracts.,,,,,,,,,,,,
1,IFRS 17 Fundamentals,Standard,Are product warranties issued by a retailer within IFRS 17?,"Yes, always","No, they fall under IAS 37",Only for 12-month terms,"Yes, if embedded in insurance","No, they fall under IAS 37","Retail product warranties are covered by IAS 37, not IFRS 17.",,,,,,,,,,,,
1,IFRS 17 Fundamentals,Standard,What type of contract is explicitly excluded from IFRS 17 scope?,Group life insurance,Reinsurance contracts,Insurance-linked investments,Financial guarantees (under IFRS 9),Financial guarantees (under IFRS 9),Financial guarantee contracts are usually treated under IFRS 9 unless specifically designated as insurance.,,,,,,,,,,,,
1,IFRS 17 Fundamentals,Standard,Fixed-fee service contracts may be accounted for under IFRS 15 instead of IFRS 17 when,Payments are made in cash,The price reflects individual customer risk,Compensation is provided through services and insurance risk arises mainly from service usage,The contract includes discretionary bonuses,Compensation is provided through services and insurance risk arises mainly from service usage,"IFRS 15 may be applied when the contract is service-oriented, fixed-fee, and insurance risk arises mainly from service usage rather than cost uncertainty.",,,,,,,,,,,,
